url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://actualidad.rt.com/actualidad/375564-onu-solo-rusia-ofrecer-vacuna-personal-organizacion,https://actualidad.rt.com/actualidad/375564-onu-solo-rusia-ofrecer-vacuna-personal-organizacion/amp,La ONU anuncia que solo Rusia ofreció su vacuna contra el coronavirus al personal de la organización,20201202T213000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fc7eaf1e9ff714e4c596289.jpg,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/375667-lopez-obrador-vacuna-pfizer-diciembre,https://actualidad.rt.com/actualidad/375667-lopez-obrador-vacuna-pfizer-diciembre/amp,López Obrador espera que la vacuna de Pfizer pueda distribuirse en México a partir de diciembre,20201203T154500Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fc903a859bf5b372d1541a7.jpg,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376239-fda-seis-muertos-vacuna-pfizer,https://actualidad.rt.com/actualidad/376239-fda-seis-muertos-vacuna-pfizer/amp,Seis personas murieron durante el ensayo de la vacuna de Pfizer,20201208T201500Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fcfcc7459bf5b293755bcd2.JPG,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376317-reino-unido-reacciones-alergicas-vacuna-pfizer,https://actualidad.rt.com/actualidad/376317-reino-unido-reacciones-alergicas-vacuna-pfizer/amp,Reino Unido advierte a las personas con historial alérgico que eviten la vacuna de Pfizer tras dos casos de reacciones adversas,20201209T130000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fd0b72859bf5b22790f7eb7.jpg,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/375544-diario-voluntario-anticuerpos-vacuna-sputnik,https://actualidad.rt.com/actualidad/375544-diario-voluntario-anticuerpos-vacuna-sputnik/amp,El ansiado día 42 en el  Diario de un Voluntario : ¿ habrá funcionado la vacuna Sputnik V ? ,20201202T184500Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fc7da5859bf5b0b6815a1f6.jpg,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376605-fda-eeuu-aprobar-vacuna-pfizer,https://actualidad.rt.com/actualidad/376605-fda-eeuu-aprobar-vacuna-pfizer/amp,Autoridad sanitaria de EE . UU . anuncia que aprobará el uso de emergencia de la vacuna de Pfizer,20201211T131500Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fd3698359bf5b39201bf0cc.jpg,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/375585-pfizer-pedir-autorizacion-gobierno-argentina-vacunar,https://actualidad.rt.com/actualidad/375585-pfizer-pedir-autorizacion-gobierno-argentina-vacunar/amp,Pfizer pide autorización al Gobierno de Alberto Fernández para comenzar a vacunar en Argentina,20201203T023000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fc833a059bf5b434444f79c.JPG,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376315-asesor-vacuna-pfizer-durar-nueve-meses,https://actualidad.rt.com/actualidad/376315-asesor-vacuna-pfizer-durar-nueve-meses/amp,Asesor médico principal del Gobierno británico : La vacuna de Pfizer y BioNTech contra el covid - 19 podría durar solo nueve meses,20201209T160000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fd0b03359bf5b21e034b543.jpg,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/375944-trump-asegura-vacuna-coronavirus-disponible-proxima-semana,https://actualidad.rt.com/actualidad/375944-trump-asegura-vacuna-coronavirus-disponible-proxima-semana/amp,Trump asegura que una vacuna contra el coronavirus estará disponible en EE . UU . a partir de la próxima semana,20201206T044500Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fcc593259bf5b083e1b8f6b.JPG,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376314-eau-registrar-vacuna-china-sinopharm-eficacia,https://actualidad.rt.com/actualidad/376314-eau-registrar-vacuna-china-sinopharm-eficacia/amp,Emiratos Árabes Unidos registra la vacuna del gigante chino Sinopharm y afirma que tiene una eficacia de un 86 % ,20201209T143000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fd0b14459bf5b1f324bec27.JPG,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376598-centro-gamaleya-astrazeneca-eficiencia-insuficiente,https://actualidad.rt.com/actualidad/376598-centro-gamaleya-astrazeneca-eficiencia-insuficiente/amp,"  La vacuna de AstraZeneca tiene una eficiencia insuficiente , pero esto se puede corregir con un componente de Sputnik V  ",20201211T123000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fd360d159bf5b41c029be5d.JPG,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376159-reino-unido-comenzar-vacunar-poblacion-covid19,https://actualidad.rt.com/actualidad/376159-reino-unido-comenzar-vacunar-poblacion-covid19/amp,Reino Unido comienza a vacunar a su población contra el covid - 19,20201208T081500Z,,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376030-siete-preguntas-clave-vacunacion-covid,https://actualidad.rt.com/actualidad/376030-siete-preguntas-clave-vacunacion-covid/amp," ¿ Inmunidad total ?, ¿ adiós a las mascarillas ?, ¿ otra ola de covid - 19 ?: la vacunación arranca con 7 interrogantes",20201207T163000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fcdfcfee9ff7163a7212ff8.JPG,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376166-vacuna-universal-gripe-arroja-resultados,https://actualidad.rt.com/actualidad/376166-vacuna-universal-gripe-arroja-resultados/amp,Una vacuna universal contra la gripe arroja resultados prometedores en la primera prueba clínica,20201208T131500Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fcf6a8e59bf5b7701493520.JPG,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376677-presidente-tribunal-sudafrica-vacuna-covid-diablo,https://actualidad.rt.com/actualidad/376677-presidente-tribunal-sudafrica-vacuna-covid-diablo/amp,El presidente del Tribunal Supremo de Sudáfrica insiste en vincular con el diablo la vacuna contra el covid - 19,20201212T163000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fd40c19e9ff71468167688c.JPG,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376484-alberto-fernandez-vacuna-rusa-coronavirus,https://actualidad.rt.com/actualidad/376484-alberto-fernandez-vacuna-rusa-coronavirus/amp,"Alberto Fernández :  El primero que se da la vacuna rusa soy yo , no tengo ninguna duda de su calidad  ",20201210T151500Z,https://cdni.rt.com/actualidad/public_images/static.es/article/rt-ultimo4.jpg,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376799-ninguna-vacuna-anticovid-garantiza-proteccion-absolta,https://actualidad.rt.com/actualidad/376799-ninguna-vacuna-anticovid-garantiza-proteccion-absolta/amp,Creador de Sputnik V :  Ninguna vacuna contra el covid - 19 garantiza una protección absoluta  ,20201213T133000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fd61440e9ff716aa6757939.JPG,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/375977-farmaceuticas-vender-chile-vacuna-covid-responder-dano-muerte-inoculados,https://actualidad.rt.com/actualidad/375977-farmaceuticas-vender-chile-vacuna-covid-responder-dano-muerte-inoculados/amp,Farmacéuticas que venden a Chile la vacuna contra el covid - 19 no responderán en caso de daño o muerte de inoculados,20201206T173000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fccea2659bf5b4a7b193749.jpg,actualidad.rt.com,Spanish,Russia
https://actualidad.rt.com/actualidad/376143-eeuu-vacuna-covid19-pfizer,https://actualidad.rt.com/actualidad/376143-eeuu-vacuna-covid19-pfizer/amp,Pfizer podría no ser capaz de vender más dosis de su vacuna a EE . UU . hasta junio por compromisos con otros países,20201208T033000Z,https://cdni.rt.com/actualidad/public_images/2020.12/article/5fced449e9ff7111703463e6.JPG,actualidad.rt.com,Spanish,Russia
